outer_fold,model_id,physical_unit_id,condition_id,line_pressure_bar,observed_flow_g_s,predicted_flow_g_s,error_g_s,squared_error_g_s2,training_scale_g_s
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-5b,WASZ-COND-4.0,4.0535,1.61154,1.3619100304186071,-0.24962996958139283,0.06231512171320711,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-1,WASZ-COND-4.0,4.07825,2.02873,0.7906477681535762,-1.2380822318464237,1.5328476128138218,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-1b,WASZ-COND-4.0,4.04375,1.50509,0.7834803361038212,-0.7216096638961789,0.5207205070283563,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-2,WASZ-COND-4.0,4.1975,1.56031,0.8154193282825872,-0.7448906717174129,0.5548621128116186,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-2b,WASZ-COND-4.0,4.016,1.37026,0.7777149614412338,-0.5925450385587663,0.3511096227206098,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-3,WASZ-COND-4.0,4.0835,1.64449,0.7917384321626741,-0.8527515678373259,0.7271852364490173,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-3b,WASZ-COND-4.0,4.0055,1.52562,0.7755334065586794,-0.7500865934413206,0.5626298976604049,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-4,WASZ-COND-4.0,4.115,1.89730,0.7982822379563004,-1.0990177620436996,1.2078400412875419,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-4b,WASZ-COND-4.0,4.06925,1.73456,0.7887780386954546,-0.9457819613045455,0.8945035183290728,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-5,WASZ-COND-4.0,4.1075,1.86664,0.796724216779694,-1.0699157832203061,1.144719783183921,1.9299269999999997
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-4-5b,WASZ-COND-4.0,4.0535,1.61154,0.7855059519351926,-0.8260340480648074,0.6823322485623325,1.9299269999999997
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-5-1,WASZ-COND-5.0,4.919,2.05655,1.42242325,-0.6341267500000001,0.4021167350655626,1.9299269999999997
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-5-2,WASZ-COND-5.0,4.97525,2.06798,1.42242325,-0.6455567499999999,0.4167435174705624,1.9299269999999997
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-5-3,WASZ-COND-5.0,4.98425,2.15813,1.42242325,-0.7357067499999999,0.5412644219955622,1.9299269999999997
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-5-4,WASZ-COND-5.0,4.90175,2.00099,1.42242325,-0.5785667499999998,0.33473948420556227,1.9299269999999997
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-5-5,WASZ-COND-5.0,4.90175,1.88398,1.42242325,-0.46155674999999996,0.21303463347056245,1.9299269999999997
