bed_depth_m,case_id,case_kind,closure,phi,primary_eligible,saturated_k_m2,source,source_identity,transfer_interpretation,wetting_k_m2
0.011064040388499143,WADS_PAIR_TUMBA_G10,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5113,false,2.54e-11,WADSWORTH,Tumba:G10,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.012358849229393216,WADS_PAIR_TUMBA_G11,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5625,false,3.09e-11,WADSWORTH,Tumba:G11,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007209328717146042,VACA_C1_01_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.25,false,5.323275382009924e-14,VACA_C1,A:22.2g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007209328717146042,VACA_C1_01_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.25,false,4.790947843808932e-15,VACA_C1,A:22.2g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_C1_02_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,6.555836987275491e-14,VACA_C1,A:19.86g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.0075097174136937945,VACA_C1_02_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.28,false,5.900253288547942e-15,VACA_C1,A:19.86g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007724280768370759,VACA_C1_03_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.3,false,1.0618226876279643e-13,VACA_C1,A:17.5g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007724280768370759,VACA_C1_03_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.3,false,9.556404188651679e-15,VACA_C1,A:17.5g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007406844572410318,VACA_C1_04_PUBLISHED,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.27,false,7.123233811321614e-14,VACA_C1,B:22.2g:PUBLISHED,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.007406844572410318,VACA_C1_04_EWP_MU,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.27,false,6.4109104301894534e-15,VACA_C1,B:22.2g:EWP_MU,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
