model_id,physical_brew_id,condition_id,training_window,evaluation_window,parameter_training_source,state_initialization,state_at_split,modeled_progress_at_split,observed_progress_used_after_initialization,nrmse,coverage_fraction,failed,invalid_intervals
W-H2,12-8-4,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,88.8553737939628,False,0.7228137932751598,1.0,False,0
W-H3,12-8-4,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,84.97672855272766,False,0.4481383025894436,1.0,False,0
W-H5,12-8-4,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,78.27553932529827,False,0.0632999016459713,1.0,False,0
W-H0A,12-8-5,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,77.73949842739448,False,0.005004319731650973,1.0,False,0
W-H1,12-8-5,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,86.07106983191208,False,0.4876040537437885,1.0,False,0
W-H2,12-8-5,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,88.12833897266167,False,0.5998476441682721,1.0,False,0
W-H3,12-8-5,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,84.32795510489233,False,0.3456688784954,1.0,False,0
W-H5,12-8-5,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,77.75059696064743,False,0.005005136004697986,1.0,False,0
W-H0A,12-8-6,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.47937513800667,False,0.019498694488274303,1.0,False,0
W-H1,12-8-6,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,84.76622529821992,False,0.526733880257365,1.0,False,0
W-H2,12-8-6,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,86.85796217198045,False,0.6542117957706527,1.0,False,0
W-H3,12-8-6,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,83.10162911615262,False,0.3804330546429513,1.0,False,0
W-H5,12-8-6,13,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.49001936240076,False,0.01952373481020606,1.0,False,0
