case_id,geometry_id,status,direction,force,precision,steps,wall_seconds,Mach
DIR-SF64-L40-S101-Z,DIR-SF64-L40-S101,PASS,Z,1e-05,f32,39200,4.6,0.00036353323862747437
DIR-SF64-L40-S211-X,DIR-SF64-L40-S211,PASS,X,1e-05,f32,1600,0.8,0.0006108156952951393
DIR-SF64-L40-S211-Y,DIR-SF64-L40-S211,PASS,Y,1e-05,f32,29000,3.6,0.0006691608456752677
DIR-SF64-L40-S211-Z,DIR-SF64-L40-S211,PASS,Z,1e-05,f32,35000,4.2,0.0005129333612788852
DIR-SF64-L40-S307-X,DIR-SF64-L40-S307,PASS,X,1e-05,f32,6200,1.3,0.0008195401440279393
DIR-SF64-L40-S307-Y,DIR-SF64-L40-S307,PASS,Y,1e-05,f32,5200,1.2,0.0008729037956835557
DIR-SF64-L40-S307-Z,DIR-SF64-L40-S307,PASS,Z,1e-05,f32,33400,4.0,0.0005990375088926439
DIR-SF64-L40-S401-X,DIR-SF64-L40-S401,PASS,X,1e-05,f32,1800,0.9,0.0011978148049113448
DIR-SF64-L40-S401-Y,DIR-SF64-L40-S401,PASS,Y,1e-05,f32,44000,5.1,0.0010972738333157352
DIR-SF64-L40-S401-Z,DIR-SF64-L40-S401,PASS,Z,1e-05,f32,17800,2.4,0.0007033004017076869
H1-C4-L40-S101-X,H1-C4-L40-S101,PASS,X,1e-05,f32,2800,1.0,0.0008614244860981096
H1-C4-L40-S211-X,H1-C4-L40-S211,PASS,X,1e-05,f32,2600,0.9,0.002112600875883236
H1-C4-L40-S307-X,H1-C4-L40-S307,PASS,X,1e-05,f32,2400,0.9,0.0008696630817664586
H1-C4-L40-S401-X,H1-C4-L40-S401,PASS,X,1e-05,f32,1600,0.9,0.0014433573589345727
H1-C4-L40-S503-X,H1-C4-L40-S503,PASS,X,1e-05,f32,4000,1.1,0.002049327711059737
H1-C4-L40-S601-X,H1-C4-L40-S601,PASS,X,1e-05,f32,11600,1.8,0.001094365720046115
H1-C4-L40-S701-X,H1-C4-L40-S701,PASS,X,1e-05,f32,35800,4.2,0.0014139058186061122
H1-C4-L40-S809-X,H1-C4-L40-S809,PASS,X,1e-05,f32,4400,1.1,0.0010853332785159188
H1-C8-L40-S101-X,H1-C8-L40-S101,PASS,X,1e-05,f32,4400,1.1,0.0005352827839016172
H1-C8-L40-S211-X,H1-C8-L40-S211,PASS,X,1e-05,f32,1600,0.8,0.0024985515140920843
H1-C8-L40-S307-X,H1-C8-L40-S307,PASS,X,1e-05,f32,1800,0.9,0.0015685724794426534
