geometry_id,physical_lineage_id,family,L,voxel_um,seed,relation,frozen_relation,analysis_relation,parent_id,geometry_sha256,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,state_phis,state_amp,state_hlen,restriction_fraction
BASE-L24-S1601,LINEAGE-740cd59278fb9118,BASELINE,24,30.0,1601,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,e85a1523ac5df372a7c6c77cc28e2d6b960ca77ec95a3e54d80ac7581f0fbf6c,0.30671296296296297,0.30671296296296297,0.30671296296296297,0.30671296296296297,0.6932870370370371,0.18055555555555555,1.0,1.7320508075688772,3.3166247903554,2,0.55,0,8,0.0
BASE-L24-S1709,LINEAGE-8d5d9c3be6a5f71e,BASELINE,24,30.0,1709,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,1eac6c22126b484202eb733d10be3e29037a0fc918134c2df31f15156d1d3bd5,0.42086226851851855,0.42086226851851855,0.42086226851851855,0.42086226851851855,0.5791377314814815,0.1902488425925926,1.0,2.23606797749979,4.242640687119285,1,0.55,0,8,0.0
BASE-L24-S1801,LINEAGE-854b4a80b5ab3ae9,BASELINE,24,30.0,1801,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,ab8443f2b11eb81cda355aa54c375a572513189ceb89ff2cfe6388b35455625d,0.32913773148148145,0.32913773148148145,0.32913773148148145,0.32913773148148145,0.6708622685185185,0.1824363425925926,1.0,2.0,3.605551275463989,1,0.55,0,8,0.0
BASE-L24-S1901,LINEAGE-7bf933115d062c6e,BASELINE,24,30.0,1901,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,c864358bc31e90048022f1aab747c64ac09838885270a4d847bab69cf0747129,0.36820023148148145,0.36820023148148145,0.36820023148148145,0.36820023148148145,0.6317997685185185,0.2175925925925926,1.0,1.7320508075688772,3.1622776601683795,0,0.55,0,8,0.0
BASE-L24-S2003,LINEAGE-a07c75218fab7b33,BASELINE,24,30.0,2003,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,1dc695ce000d59346fcc349fe8d14dcdb42c4653fa99227854787f25b3bac196,0.3855613425925926,0.3855613425925926,0.3855613425925926,0.3855613425925926,0.6144386574074074,0.1802662037037037,1.0,2.23606797749979,4.242640687119285,0,0.55,0,8,0.0
BASE-L24-S211,LINEAGE-0c2ddd6b9cb54e4a,BASELINE,24,30.0,211,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,fe34bf3d96c133c111bdac8e96490f2835af940147da063e2cb1ea6bf43f83ab,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.5830439814814815,0.19299768518518517,1.0,2.23606797749979,4.58257569495584,-1,0.55,0,8,0.0
BASE-L24-S2111,LINEAGE-621a0795d73dc669,BASELINE,24,30.0,2111,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,8929f4d08012a04d86fc25ce3b8da2e5be03519c278a5ec87a842d4ee7942902,0.38816550925925924,0.38816550925925924,0.38816550925925924,0.38816550925925924,0.6118344907407407,0.2037037037037037,1.0,2.0,3.605551275463989,1,0.55,0,8,0.0
BASE-L24-S2203,LINEAGE-2a27106dd5d19c84,BASELINE,24,30.0,2203,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,3c1fe9778873a3a3b1982e4d254faf26fc6633abf7b4006d6f7224cea8787c03,0.4113136574074074,0.4113136574074074,0.4113136574074074,0.4113136574074074,0.5886863425925926,0.19212962962962962,1.0,2.0,4.123105625617661,1,0.55,0,8,0.0
BASE-L24-S2309,LINEAGE-bb598c98d6a2e43c,BASELINE,24,30.0,2309,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,7399210a17c6ba6130b4fbb8cf2538fffd974e412252e85c554880c8e452b7e2,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.5902777777777778,0.19835069444444445,1.0,2.0,4.123105625617661,-1,0.55,0,8,0.0
BASE-L24-S2411,LINEAGE-ae3062a161ef5b37,BASELINE,24,30.0,2411,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,ccc73e45f77875b314bd88dcc03933a5fe79f1eb8b9a62cbbaa234833d06b49a,0.42679398148148145,0.42679398148148145,0.42679398148148145,0.42679398148148145,0.5732060185185185,0.1875,1.0,2.23606797749979,4.358898943540674,1,0.55,0,8,0.0
