case_id,geometry_id,family,state,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose
SF50-L40-S809-X,SF50-L40-S809,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,809,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S101-X,SF55-L40-S101,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,101,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S211-X,SF55-L40-S211,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,211,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S307-X,SF55-L40-S307,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,307,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S401-X,SF55-L40-S401,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,401,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S503-X,SF55-L40-S503,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,503,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S601-X,SF55-L40-S601,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,601,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S701-X,SF55-L40-S701,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,701,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S809-X,SF55-L40-S809,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,809,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S101-X,SF60-L40-S101,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,101,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S211-X,SF60-L40-S211,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,211,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S307-X,SF60-L40-S307,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,307,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S401-X,SF60-L40-S401,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,401,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S503-X,SF60-L40-S503,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,503,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S601-X,SF60-L40-S601,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,601,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S701-X,SF60-L40-S701,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,701,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S809-X,SF60-L40-S809,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,809,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S101-X,SF64-L40-S101,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,101,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S211-X,SF64-L40-S211,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,211,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S307-X,SF64-L40-S307,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,307,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S401-X,SF64-L40-S401,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,401,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S503-X,SF64-L40-S503,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,503,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S601-X,SF64-L40-S601,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,601,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S701-X,SF64-L40-S701,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,701,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF64-L40-S809-X,SF64-L40-S809,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.64}",40,30,809,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
DEP00-L40-S101-X,DEP00-L40-S101,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0}",40,30,101,PAIRED_TRANSFORMATION,BASE-L40-S101,X,1e-05,f32,SCORED
DEP10-L40-S101-X,DEP10-L40-S101,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.1}",40,30,101,PAIRED_TRANSFORMATION,BASE-L40-S101,X,1e-05,f32,SCORED
DEP20-L40-S101-X,DEP20-L40-S101,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.2}",40,30,101,PAIRED_TRANSFORMATION,BASE-L40-S101,X,1e-05,f32,SCORED
DEP30-L40-S101-X,DEP30-L40-S101,THROAT_RESTRICTION,"{""amp"":0,""hlen"":8,""phis"":0.55,""restriction"":0.3}",40,30,101,PAIRED_TRANSFORMATION,BASE-L40-S101,X,1e-05,f32,SCORED
