case_id,geometry_id,family,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose,status,geometry_sha256,K_gross_lu2,K_void_lu2,q_box_lu,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy,Mach,steps,wall_seconds,state_phis,state_amp,state_hlen,restriction_fraction,physical_lineage_id
BASE-L24-S1601-X,BASE-L24-S1601,BASELINE,24,30.0,1601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4,PASS,e85a1523ac5df372a7c6c77cc28e2d6b960ca77ec95a3e54d80ac7581f0fbf6c,0.15445205820563213,0.50357199354591,6.619373923098521e-06,0.30671296296296297,0.30671296296296297,0.30671296296296297,0.30671296296296297,0.6932870370370371,0.18055555555555555,1.0,1.7320508075688772,3.3166247903554,2,1.9729721277651362,0.7789360044110348,0.7334688877305489,0.9059036183959679,0.5487259845774154,0.0003576642335374755,3000,0.8,0.55,0,8,0.0,LINEAGE-740cd59278fb9118
BASE-L24-S1709-X,BASE-L24-S1709,BASELINE,24,30.0,1709,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5,PASS,1eac6c22126b484202eb733d10be3e29037a0fc918134c2df31f15156d1d3bd5,1.4501943997451956,3.445769574093775,6.215118856050839e-05,0.42086226851851855,0.42086226851851855,0.42086226851851855,0.42086226851851855,0.5791377314814815,0.1902488425925926,1.0,2.23606797749979,4.242640687119285,1,1.271605484855081,0.6310712068208308,0.4211441706340331,0.7363113007037951,0.7358205203173731,0.0007724711032923687,6000,0.9,0.55,0,8,0.0,LINEAGE-8d5d9c3be6a5f71e
BASE-L24-S1801-X,BASE-L24-S1801,BASELINE,24,30.0,1801,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5,PASS,ab8443f2b11eb81cda355aa54c375a572513189ceb89ff2cfe6388b35455625d,0.4953203463626995,1.504902960025925,2.1228014844115697e-05,0.32913773148148145,0.32913773148148145,0.32913773148148145,0.32913773148148145,0.6708622685185185,0.1824363425925926,1.0,2.0,3.605551275463989,1,1.1704612767435307,0.6061771226753845,0.36964477090122017,0.6788132742954452,0.7339306446888013,0.00040851460286790416,3200,0.8,0.55,0,8,0.0,LINEAGE-854b4a80b5ab3ae9
BASE-L24-S1901-X,BASE-L24-S1901,BASELINE,24,30.0,1901,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5,PASS,c864358bc31e90048022f1aab747c64ac09838885270a4d847bab69cf0747129,0.4702506812292268,1.2771601998649964,2.0153600624109725e-05,0.36820023148148145,0.36820023148148145,0.36820023148148145,0.36820023148148145,0.6317997685185185,0.2175925925925926,1.0,1.7320508075688772,3.1622776601683795,0,1.3436505911342587,0.6426349225323602,0.46429081278605777,0.75616809740705,0.7259326409646529,0.0003700444583656784,10800,1.1,0.55,0,8,0.0,LINEAGE-7bf933115d062c6e
BASE-L24-S2003-X,BASE-L24-S2003,BASELINE,24,30.0,2003,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5,PASS,1dc695ce000d59346fcc349fe8d14dcdb42c4653fa99227854787f25b3bac196,1.1356312317752064,2.945397025902524,4.866990993322314e-05,0.3855613425925926,0.3855613425925926,0.3855613425925926,0.3855613425925926,0.6144386574074074,0.1802662037037037,1.0,2.23606797749979,4.242640687119285,0,1.0679230724977238,0.55526130166544,0.32805805027202384,0.5866210475056785,0.7555559715236465,0.0004793057118204475,14400,1.3,0.55,0,8,0.0,LINEAGE-a07c75218fab7b33
BASE-L24-S211-X,BASE-L24-S211,BASELINE,24,30.0,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,fe34bf3d96c133c111bdac8e96490f2835af940147da063e2cb1ea6bf43f83ab,0.8693234617575563,2.084928441245048,3.7256719789609565e-05,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.5830439814814815,0.19299768518518517,1.0,2.23606797749979,4.58257569495584,-1,1.252975642989879,0.6321871912989575,0.4176516195957464,0.7260688739190388,0.7325444697743325,0.0005383632970218542,4200,0.9,0.55,0,8,0.0,LINEAGE-0c2ddd6b9cb54e4a
BASE-L24-S2111-X,BASE-L24-S2111,BASELINE,24,30.0,2111,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6,PASS,8929f4d08012a04d86fc25ce3b8da2e5be03519c278a5ec87a842d4ee7942902,0.17474691628928335,0.45018661401100507,7.489153555255002e-06,0.38816550925925924,0.38816550925925924,0.38816550925925924,0.38816550925925924,0.6118344907407407,0.2037037037037037,1.0,2.0,3.605551275463989,1,1.473088946501256,0.6692289358209761,0.5232367426694235,0.7574142183959083,0.7041306429203544,0.0002971852065267996,21400,1.6,0.55,0,8,0.0,LINEAGE-621a0795d73dc669
BASE-L24-S2203-X,BASE-L24-S2203,BASELINE,24,30.0,2203,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6,PASS,3c1fe9778873a3a3b1982e4d254faf26fc6633abf7b4006d6f7224cea8787c03,0.19189664911557838,0.46654577512728734,8.224142104953362e-06,0.4113136574074074,0.4113136574074074,0.4113136574074074,0.4113136574074074,0.5886863425925926,0.19212962962962962,1.0,2.0,4.123105625617661,1,1.488721587885172,0.6804473692905266,0.5383386628479171,0.7706252087173073,0.6920125816815215,0.00032713221999318854,34200,2.1,0.55,0,8,0.0,LINEAGE-2a27106dd5d19c84
BASE-L24-S2309-X,BASE-L24-S2309,BASELINE,24,30.0,2309,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6,PASS,7399210a17c6ba6130b4fbb8cf2538fffd974e412252e85c554880c8e452b7e2,0.6692696548018122,1.6334716998552705,2.8682985205791956e-05,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.4097222222222222,0.5902777777777778,0.19835069444444445,1.0,2.0,4.123105625617661,-1,1.2849499287540203,0.6340777845194367,0.4537088677329121,0.7049849896157634,0.7322969296981428,0.00046045676230493823,7200,1.0,0.55,0,8,0.0,LINEAGE-bb598c98d6a2e43c
BASE-L24-S2411-X,BASE-L24-S2411,BASELINE,24,30.0,2411,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6,PASS,ccc73e45f77875b314bd88dcc03933a5fe79f1eb8b9a62cbbaa234833d06b49a,0.2401375743975706,0.5626545471986468,1.0291610331324456e-05,0.42679398148148145,0.42679398148148145,0.42679398148148145,0.42679398148148145,0.5732060185185185,0.1875,1.0,2.23606797749979,4.358898943540674,1,1.447143306239245,0.6762347486589706,0.5343701226170581,0.7896407898323907,0.6949880204241382,0.00035749112795647575,35800,2.2,0.55,0,8,0.0,LINEAGE-ae3062a161ef5b37
BASE-L24-S307-X,BASE-L24-S307,BASELINE,24,30.0,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,411e1bc793875b624e2115c734c9258638650e3b2c734fc5adb81d068d1e21bb,0.5429112542231014,1.7709309057055578,2.3267625180990062e-05,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.6934317129629629,0.16666666666666666,1.0,2.0,4.0,-1,1.557225014281792,0.7084711575672265,0.5628228633538409,0.8375259015309923,0.6558158271325146,0.0004126778828277113,2000,0.8,0.55,0,8,0.0,LINEAGE-e05ff5681b76d793
