case_id,geometry_id,family,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose,status,geometry_sha256,K_gross_lu2,K_void_lu2,q_box_lu,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy,Mach,steps,wall_seconds,state_phis,state_amp,state_hlen,restriction_fraction
DIR-BASE-L40-S401-Y,DIR-BASE-L40-S401,DIRECTIONAL,40,30,401,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,PASS,72db2abeb685dd9380d3d3996070eda11df5fa4956688eaaab2362cf5f024174,3.393079963646433,7.764485042669183,0.00014541771272770428,0.437,0.436953125,0.436953125,0.436953125,0.563,0.12596875,1.0,3.0,6.082762530298219,2,1.1334458014975828,0.5841986807448339,0.3882350399306581,0.6403758080942532,0.7729853561617959,0.0015081053994391695,3600,1.1,0.55,0,8,0.0
DIR-BASE-L40-S401-Z,DIR-BASE-L40-S401,DIRECTIONAL,40,30,401,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,PASS,72db2abeb685dd9380d3d3996070eda11df5fa4956688eaaab2362cf5f024174,0.34828785716955263,0.7969973848273516,1.4926622450123687e-05,0.437,0.436953125,0.436953125,0.436953125,0.563,0.12596875,1.0,3.0,6.082762530298219,2,2.175783875490884,0.7773210791601127,0.6911544919196452,0.9082243653653272,0.5416004787009098,0.001046404787334823,7400,1.4,0.55,0,8,0.0
DIR-DEP30-L40-S101-X,DIR-DEP30-L40-S101,DIRECTIONAL,40,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED_DIRECTIONAL,PASS,444d046c8ed99124500de171cf673b4920244bb78dff683655e4e43932c0f7d5,0.2768690984905185,1.008343612552961,1.1865818506736509e-05,0.274578125,0.27409375,0.27409375,0.27409375,0.725421875,0.16890625,1.0,1.7320508075688772,4.123105625617661,-13,1.09877661860608,0.5347999701349031,0.4063840992210578,0.6481921610411621,0.8212577940159428,0.00036184500552890954,34200,4.1,0.55,0,8,0.3
DIR-DEP30-L40-S101-Y,DIR-DEP30-L40-S101,DIRECTIONAL,40,30,101,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,PASS,444d046c8ed99124500de171cf673b4920244bb78dff683655e4e43932c0f7d5,0.22733454600105463,0.8279412134562963,9.742909114330914e-06,0.274578125,0.27409375,0.27409375,0.27409375,0.725421875,0.16890625,1.0,1.7320508075688772,4.123105625617661,-13,0.8323669818924355,0.45178809822653354,0.31513741108754173,0.5229695274516238,0.8729309884250471,0.00031326076166180426,43200,5.0,0.55,0,8,0.3
DIR-DEP30-L40-S101-Z,DIR-DEP30-L40-S101,DIRECTIONAL,40,30,101,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,PASS,444d046c8ed99124500de171cf673b4920244bb78dff683655e4e43932c0f7d5,0.1596690366567472,0.5815067629904865,6.842958713860596e-06,0.274578125,0.27409375,0.27409375,0.27409375,0.725421875,0.16890625,1.0,1.7320508075688772,4.123105625617661,-13,1.0636873616540536,0.4991064492317343,0.3934106893670497,0.607083938398362,0.8380896443353046,0.00034704586460954095,30800,3.7,0.55,0,8,0.3
DIR-DEP30-L40-S211-X,DIR-DEP30-L40-S211,DIRECTIONAL,40,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED_DIRECTIONAL,PASS,6ef42e82dbc11b985ed8d6a5108476b02291752e918f766304e3b49258b636d2,0.11921515360280031,0.4064874709951636,5.109220868691443e-06,0.29328125,0.29296875,0.29296875,0.29296875,0.70671875,0.15253125,1.0,2.0,4.58257569495584,-2,1.0817742985693044,0.5574997318757225,0.39741021399381987,0.6419072024652666,0.8047471382325687,0.00036272300973888707,30200,3.7,0.55,0,8,0.3
DIR-DEP30-L40-S211-Y,DIR-DEP30-L40-S211,DIRECTIONAL,40,30,211,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,PASS,6ef42e82dbc11b985ed8d6a5108476b02291752e918f766304e3b49258b636d2,0.7118417227795896,2.4271641053752657,3.0507502404839557e-05,0.29328125,0.29296875,0.29296875,0.29296875,0.70671875,0.15253125,1.0,2.0,4.58257569495584,-2,1.3888879593039594,0.6655787063575087,0.505725315409369,0.7560739877386036,0.7038244084145072,0.000810033703727172,4200,1.1,0.55,0,8,0.3
DIR-DEP30-L40-S211-Z,DIR-DEP30-L40-S211,DIRECTIONAL,40,30,211,INDEPENDENT_REALIZATIONS,,Z,1e-05,f32,SCORED_DIRECTIONAL,PASS,6ef42e82dbc11b985ed8d6a5108476b02291752e918f766304e3b49258b636d2,0.33303117075335287,1.1355351586688645,1.4272764460857984e-05,0.29328125,0.29296875,0.29296875,0.29296875,0.70671875,0.15253125,1.0,2.0,4.58257569495584,-2,1.5997736346110427,0.6705127907111872,0.5720215117096625,0.7704879299470839,0.693989855775139,0.0007647340298795137,46600,5.4,0.55,0,8,0.3
DIR-DEP30-L40-S307-X,DIR-DEP30-L40-S307,DIRECTIONAL,40,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED_DIRECTIONAL,PASS,9e4f2ac5aeb64ff163585ce413e4130acd07d64f1ff08b1cdd4f39277300e2e6,1.157342099241273,3.842796075301763,4.9600375681768856e-05,0.301171875,0.30109375,0.30109375,0.30109375,0.698828125,0.1385625,1.0,2.23606797749979,5.196152422706632,-5,1.726239591652513,0.7206929372596218,0.6033836098749258,0.8143805885197375,0.6429624138173676,0.0012338467769648213,20000,2.7,0.55,0,8,0.3
DIR-DEP30-L40-S307-Y,DIR-DEP30-L40-S307,DIRECTIONAL,40,30,307,INDEPENDENT_REALIZATIONS,,Y,1e-05,f32,SCORED_DIRECTIONAL,PASS,9e4f2ac5aeb64ff163585ce413e4130acd07d64f1ff08b1cdd4f39277300e2e6,0.33009129244852337,1.096022968441271,1.414676967636529e-05,0.301171875,0.30109375,0.30109375,0.30109375,0.698828125,0.1385625,1.0,2.23606797749979,5.196152422706632,-5,1.6560722888093486,0.6689616591291982,0.5965652729067292,0.7454420019445993,0.6892610618785654,0.0007487416753156913,2600,1.0,0.55,0,8,0.3
