case_id,geometry_id,family,direction,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy
BASE-L24-S601-X,BASE-L24-S601,BASELINE,X,0.44632523148148145,0.44632523148148145,0.44632523148148145,0.44632523148148145,0.18287037037037038,1.0,2.23606797749979,4.242640687119285,1,1.3474579788508243,0.6407091120725993,0.4861060480011189,0.7364348432328224,0.7323756037521882
BASE-L24-S701-X,BASE-L24-S701,BASELINE,X,0.4291087962962963,0.4291087962962963,0.4291087962962963,0.4291087962962963,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,1.3352611405177526,0.6554873930628635,0.44680492565146007,0.7616718963501601,0.7098706601339971
BASE-L24-S809-X,BASE-L24-S809,BASELINE,X,0.30107060185185186,0.30107060185185186,0.30107060185185186,0.30107060185185186,0.16565393518518517,1.0,2.0,3.7416573867739413,0,1.4754790161238749,0.6951128334132065,0.5195816469231501,0.8012121980745992,0.6678160509298816
BASE-L24-S907-X,BASE-L24-S907,BASELINE,X,0.4123263888888889,0.41218171296296297,0.41218171296296297,0.41218171296296297,0.2019675925925926,1.0,2.0,4.123105625617661,-3,1.2343424245855783,0.6230708079453489,0.4393257742008992,0.6964153117605034,0.7436369827781681
BASE-L32-S1009-X,BASE-L32-S1009,BASELINE,X,0.429168701171875,0.429168701171875,0.429168701171875,0.429168701171875,0.152587890625,1.0,2.8284271247461903,5.830951894845301,0,1.370825991273458,0.6557773464580696,0.47744189336176923,0.735156810172289,0.7138426652230222
BASE-L32-S101-X,BASE-L32-S101,BASELINE,X,0.34674072265625,0.346710205078125,0.346710205078125,0.346710205078125,0.16741943359375,1.0,2.23606797749979,4.242640687119285,-4,1.6667055958000327,0.6901775186241592,0.5761313934425489,0.8090407463317111,0.6716258642644983
BASE-L32-S1103-X,BASE-L32-S1103,BASELINE,X,0.417022705078125,0.417022705078125,0.417022705078125,0.417022705078125,0.18408203125,1.0,2.23606797749979,4.242640687119285,0,0.8542048941406952,0.44203723390759997,0.346184710487446,0.5410437758386895,0.8830937942455678
BASE-L32-S1201-X,BASE-L32-S1201,BASELINE,X,0.44573974609375,0.445526123046875,0.445526123046875,0.445526123046875,0.17724609375,1.0,2.23606797749979,4.898979485566356,-1,1.5909236199948589,0.6546836975338006,0.5679166240063265,0.7767794467004338,0.7074336908179317
BASE-L32-S1301-X,BASE-L32-S1301,BASELINE,X,0.424713134765625,0.424713134765625,0.424713134765625,0.424713134765625,0.1529541015625,1.0,2.449489742783178,5.916079783099616,0,1.72731615550051,0.7155755220547596,0.6125541314357146,0.8200016551663714,0.6474199465689093
BASE-L32-S1409-X,BASE-L32-S1409,BASELINE,X,0.44281005859375,0.44281005859375,0.44281005859375,0.44281005859375,0.18170166015625,1.0,2.23606797749979,4.0,-1,0.5855439043273376,0.31692783444044403,0.24793940428686512,0.45220423056779335,0.9423554870278977
BASE-L32-S1511-X,BASE-L32-S1511,BASELINE,X,0.423095703125,0.423095703125,0.423095703125,0.423095703125,0.17620849609375,1.0,2.23606797749979,5.0,-2,1.5714277764794162,0.6746301794476283,0.5697585586261009,0.7929740902276116,0.6951637614969038
BASE-L32-S1601-X,BASE-L32-S1601,BASELINE,X,0.395172119140625,0.3951416015625,0.3951416015625,0.3951416015625,0.16064453125,1.0,2.23606797749979,5.0990195135927845,1,1.4540128388462175,0.6667996155417522,0.5241067637773378,0.7789573428631968,0.7038279744211561
BASE-L32-S1709-X,BASE-L32-S1709,BASELINE,X,0.445343017578125,0.445281982421875,0.445281982421875,0.445281982421875,0.18463134765625,1.0,2.23606797749979,4.898979485566356,-4,1.0778624164682074,0.5478439448713821,0.3920791127854917,0.6489913726807678,0.8141093044221038
BASE-L32-S1801-X,BASE-L32-S1801,BASELINE,X,0.342071533203125,0.341827392578125,0.341827392578125,0.341827392578125,0.183837890625,1.0,2.0,4.358898943540674,-1,1.6963881363294453,0.7225707788025837,0.5952548050096589,0.8442298574000529,0.6372679915234607
